"BH","Jidd Hafs","Abu Baham"
"BH","Al Mintaqah Ash Shamaliyah","Abu Saibi'"
"BH","Al Mintaqah Ash Shamaliyah","Abu Saybi`"
"BH","Al Mintaqah Ash Shamaliyah","Ad Diraz"
"BH","Jidd Hafs","'Ain-Ad-Dar"
"BH","Jidd Hafs","Ain Al-Dar"
"BH","Al Manamah","Al `Adliyah"
"BH","Sitrah","Al `Akr"
"BH","Sitrah","Al `Akur"
"BH","Sitrah","Al `Aqr"
"BH","Sitrah","Al `Aqur"
"BH","Jidd Hafs","Al Bid`Ah"
"BH","Al Mintaqah Ash Shamaliyah","Al Buday`"
"BH","Al Mintaqah Ash Shamaliyah","Al Budayyi`"
"BH","Al Mintaqah Al Gharbiyah","Al-Djasra"
"BH","Al Manamah","Al-Djufayr"
"BH","Mintaqat Juzur Hawar","Al Ghurayfah"
"BH","Al Hadd","Al Hadd"
"BH","Jidd Hafs","Al Hajar"
"BH","Al Mintaqah Al Gharbiyah","Al Hamalah"
"BH","Al Mintaqah Al Gharbiyah","Al-Hamla"
"BH","Al Hadd","Al Hidd"
"BH","Al Mintaqah Al Wusta","Al Hujayr"
"BH","Al Mintaqah Ash Shamaliyah","`Ali"
"BH","Al Manamah","Al Jabalah"
"BH","Al Mintaqah Ash Shamaliyah","Al Janabiyah"
"BH","Al Mintaqah Al Gharbiyah","Al Jasrah"
"BH","Al Mintaqah Al Wusta","Al Jubaylat"
"BH","Al Manamah","Al Jufayr"
"BH","Sitrah","Al-Kharidjiyya"
"BH","Sitrah","Al Kharijiyah"
"BH","Sitrah","Al Ma`Amir"
"BH","Al Mintaqah Al Gharbiyah","Al Malikiyah"
"BH","Al Mintaqah Al Gharbiyah","Al-Malikiyya"
"BH","Al Mintaqah Al Gharbiyah","Al Mamtalah"
"BH","Al Manamah","Al Manama"
"BH","Al Manamah","Al Manamah"
"BH","Al Mintaqah Ash Shamaliyah","Al Markh"
"BH","Al Mintaqah Al Gharbiyah","Al Matallah"
"BH","Al Mintaqah Al Gharbiyah","Al M'Ttalah"
"BH","Al Mintaqah Al Gharbiyah","Al Mumattalah"
"BH","Jidd Hafs","Al Muqsha`"
"BH","Jidd Hafs","Al Musalla"
"BH","Al Mintaqah Al Gharbiyah","Al Mutallah"
"BH","Jidd Hafs","Al Muwaylighah"
"BH","Jidd Hafs","Al Qadam"
"BH","Sitrah","Al Qaryah"
"BH","Al Mintaqah Ash Shamaliyah","Al Qurayyah"
"BH","Jidd Hafs","Al-Shakhura"
"BH","Al Mintaqah Al Gharbiyah","Al Wasmiyah"
"BH","Al Mintaqah Al Gharbiyah","Al-Zallak"
"BH","Jidd Hafs","`An Ad Dar"
"BH","Sitrah","An Nuwaydirat"
"BH","Sitrah","'Aqur"
"BH","Al Mintaqah Ash Shamaliyah","Ar Ruq`Ah"
"BH","Jidd Hafs","Ash Shakhurah"
"BH","Jidd Hafs","As Sahlah Al Fawqiyah"
"BH","Jidd Hafs","As Sahlat Al Hadriyah"
"BH","Al Manamah","As Salihiyah"
"BH","Jidd Hafs","As Sanabis"
"BH","Jidd Hafs","`Ayn Ad Dar"
"BH","Al Mintaqah Al Gharbiyah","Az Zallaq"
"BH","Al Hadd","Az Zimmah"
"BH","Al Manamah","Az Zinj"
"BH","Al Mintaqah Ash Shamaliyah","Badaiya`A"
"BH","Al Mintaqah Ash Shamaliyah","Bani Jamrah"
"BH","Al Mintaqah Ash Shamaliyah","Barbar"
"BH","Jidd Hafs","Bid`Ah"
"BH","Al Manamah","Bilad Al-Kadim"
"BH","Al Manamah","Bilad Al Qadim"
"BH","Al Manamah","Bu Ashira"
"BH","Al Manamah","Bu `Ashirah"
"BH","Al Mintaqah Ash Shamaliyah","Budaia"
"BH","Al Mintaqah Ash Shamaliyah","Budaiya"
"BH","Al Mintaqah Ash Shamaliyah","Buday`Ah"
"BH","Al Mintaqah Ash Shamaliyah","Budayya`"
"BH","Jidd Hafs","Bukuwa"
"BH","Jidd Hafs","Bu Quwah"
"BH","Jidd Hafs","Bu Quwwah"
"BH","Al Manamah","Buri"
"BH","Al Mintaqah Al Gharbiyah","Dar Chulaib"
"BH","Al Mintaqah Al Gharbiyah","Dar Kulaib"
"BH","Al Mintaqah Al Gharbiyah","Dar Kulayb"
"BH","Al Mintaqah Ash Shamaliyah","Diraz"
