"EG","Ash Sharqiyah","10 Ramadan City"
"EG","Ash Sharqiyah","10th Of Ramadan City"
"EG","Al Gharbiyah","1 `Ezbet Has Salib"
"EG","Ad Daqahliyah","257)izbat Ahmad `Ali `Udah"
"EG","Al Jizah","6 October City"
"EG","Al Jizah","Aâ‚¬â?abd El-Gilil"
"EG","Al Minya","Aba Al Waqf"
"EG","Kafr Ash Shaykh","Ab`Adiyat Ar Rawdah"
"EG","Al Buhayrah","Ab`Adiyat Damanhur"
"EG","Ad Daqahliyah","Ab`Adiyat Darawah"
"EG","Al Buhayrah","Ab`Adiyet Damanhur"
"EG","Kafr Ash Shaykh","Ab`Adiyet El-Roda"
"EG","Al Minya","Aba El-Waqf"
"EG","Al Minya","`Abbad Sharuna"
"EG","Al Minya","`Abbad Sharunah"
"EG","Ash Sharqiyah","Abbasa"
"EG","Qina","Abbasa"
"EG","Qina","`Abbasah"
"EG","Al Buhayrah","`Abbas Al `Aqqad"
"EG","Al Buhayrah","`Abbas El-`Aqqad"
"EG","Ash Sharqiyah","Abbasia El Gharbia"
"EG","Ash Sharqiyah","Abbasia El Sharqia"
"EG","Al Qahirah","Abbasieh"
"EG","Al Qahirah","`Abbasiya"
"EG","Al Qahirah","Abbasiyah"
"EG","Al Qahirah","`Abbasiyeh"
"EG","Al Gharbiyah","Abbig"
"EG","Al Gharbiyah","Abbij"
"EG","Al Buhayrah","`Abd Al `Aziâ§im Abu Al `Ata"
"EG","Al Buhayrah","`Abd Al Halim Mahmud"
"EG","Al Buhayrah","`Abd Al Hamid `Ayyash"
"EG","Al Buhayrah","`Abd El-`Azim Abu El-`Ata"
"EG","Al Iskandariyah","`Abd El Qadir"
"EG","Kafr Ash Shaykh","`Abd El-Rahman"
"EG","Al Buhayrah","`Abd El-Wahhab"
"EG","Al Qahirah","`Abdin"
"EG","Al Fayyum","Abgig"
"EG","Al Gharbiyah","Abgul"
"EG","Al Fayyum","Abhit"
"EG","Al Fayyum","Abhit Al Hajar"
"EG","Al Fayyum","Abhit El-Hagar"
"EG","Qina","Abidus"
"EG","Al Buhayrah","Abis"
"EG","Al Buhayrah","Abis Al Mustajaddah"
