"OM","Al Batinah","Abailah"
"OM","Az Zahirah","A`Bal"
"OM","Ash Sharqiyah","`Abat"
"OM","Masqat","`Abayah"
"OM","Al Batinah","`Abbasah"
"OM","Az Zahirah","`Ablah"
"OM","Al Batinah","Abu `Abali"
"OM","Ash Sharqiyah","Abu Akaisha"
"OM","Al Batinah","Abu Al Hisn"
"OM","Az Zahirah","Abud"
"OM","Al Batinah","Abu Durus"
"OM","Masqat","Abu Nukhayl"
"OM","Ash Sharqiyah","Abu Qal`Ah"
"OM","Musandam","Abu Qarayt"
"OM","Zufar","Abu Rumaila"
"OM","Zufar","Abu Rumaylah"
"OM","Ash Sharqiyah","Abu `Ukayshah"
"OM","Al Batinah","Abyad"
"OM","Al Batinah","Abyadh"
"OM","Zufar","Adaakham"
"OM","Zufar","Adakham"
"OM","Ash Sharqiyah","Adam"
"OM","Zufar","Adanham"
"OM","Ash Sharqiyah","Ad Daffah"
"OM","Ash Sharqiyah","`Addah"
"OM","Musandam","Ad Da`Nah"
"OM","Al Batinah","Ad Dar"
"OM","Musandam","Ad Darayn"
"OM","Ash Sharqiyah","Ad Dariz"
"OM","Az Zahirah","Ad Dariz"
"OM","Al Batinah","Ad Das"
"OM","Musandam","`Addas"
"OM","Al Batinah","Ad Dawaniq"
"OM","Musandam","Ad Dharayn"
"OM","Masqat","Ad Duwaykah"
"OM","Zufar","Adh`Eet"
"OM","Zufar","Adhjoord"
"OM","Masqat","Afa"
"OM","Masqat","Afi"
"OM","Ash Sharqiyah","Aflaj"
"OM","Masqat","Aflaj"
"OM","Az Zahirah","Afranji"
"OM","Ash Sharqiyah","Aged"
"OM","Zufar","Agyaan"
"OM","Zufar","Agyan"
"OM","Zufar","Ahyawf"
"OM","Musandam","Aimus"
"OM","Musandam","Aini"
"OM","Al Batinah","Aiyuun"
"OM","Al Batinah","`Ajib"
"OM","Masqat","Ajma`"
"OM","Al Batinah","Ajran"
"OM","Zufar","Ajreezi"
"OM","Zufar","Ajrizi"
"OM","Az Zahirah","Akbul"
"OM","Zufar","Akkad"
"OM","Zufar","Akroont"
"OM","Zufar","Akrunt"
"OM","Al Batinah","Aktam"
"OM","Al Batinah","`Akur"
"OM","Al Batinah","Al Ababah"
"OM","Al Batinah","Al `Abbasah"
"OM","Al Batinah","Al `Ablah"
"OM","Az Zahirah","Al `Ablah"
"OM","Al Batinah","Al Abyad"
"OM","Al Batinah","Al`Adan"
"OM","Ash Sharqiyah","Al `Adhfayn"
"OM","Al Batinah","Al `Afifah"
"OM","Al Batinah","Al Afrad"
"OM","Al Batinah","Al Ahjal"
"OM","Ash Sharqiyah","Al Ahmadi"
"OM","Az Zahirah","Al Ahramiya"
"OM","Az Zahirah","Al Ahramiyah"
"OM","Al Batinah","Al `Ajal"
"OM","Masqat","Al Ajal"
"OM","Az Zahirah","Al Akhdar"
"OM","Al Batinah","Al Akhri"
"OM","Al Batinah","Al `Ala"
"OM","Al Batinah","Al `Ala'"
"OM","Al Batinah","Al `Alayah"
"OM","Masqat","Al `Aliyah"
"OM","Masqat","Al Amarat"
"OM","Al Batinah","Al Ambah"
"OM","Al Batinah","Al `Amirah"
"OM","Musandam","Al `Aqabah"
"OM","Al Batinah","Al `Aqar"
"OM","Az Zahirah","Al Aqariyah"
"OM","Al Batinah","Al `Aqir"
"OM","Al Batinah","Al Aqli"
"OM","Al Batinah","Al `Aqud"
"OM","Az Zahirah","Al `Araqi"
"OM","Az Zahirah","Al `Arid"
"OM","Musandam","Al Arkub"
"OM","Musandam","Al `Arqub"
"OM","Al Batinah","Al `Asansar"
"OM","Ash Sharqiyah","Al Ashkhara"
"OM","Ash Sharqiyah","Al Ashkharah"
"OM","Ash Sharqiyah","Al Ashkhar"
"OM","Ash Sharqiyah","Al Ashkhirah"
"OM","Al Batinah","Al Ashqar"
"OM","Musandam","Al Ashtana"
"OM","Al Batinah","Al Asrar Bani Sa`D"
"OM","Al Batinah","Al Asrar Bani `Umar"
"OM","Al Batinah","Al `Awabi"
"OM","Zufar","Al Awaya"
"OM","Al Batinah","Al `Awaynat"
"OM","Al Batinah","Al `Awhi"
"OM","Masqat","`Alayah"
"OM","Az Zahirah","`Alayat Dank"
"OM","Masqat","`Alayat Misfah"
"OM","Masqat","`Alayat Sama'Il"
"OM","Masqat","Al `Ayinah"
"OM","Al Batinah","Al `Ayn"
"OM","Masqat","Al `Ayn"
"OM","Zufar","Al `Ayn"
"OM","Masqat","Al `Aynayn"
"OM","Al Batinah","Al `Ayr"
"OM","Al Batinah","Al `Ayshah"
"OM","Al Batinah","Al `Aysh"
"OM","Masqat","Al Bajariyah"
"OM","Az Zahirah","Al Banah"
"OM","Al Batinah","Al Barmiyah"
"OM","Al Batinah","Al Basatin"
"OM","Musandam","Al Bataykhi"
"OM","Ash Sharqiyah","Al Batin"
"OM","Al Batinah","Al Bayd"
"OM","Al Batinah","Al Bid`Ah"
"OM","Al Batinah","Al Bidayah"
"OM","Musandam","Al Bilad"
"OM","Musandam","Al Birak"
"OM","Al Batinah","Al Bi'R"
"OM","Masqat","Al Bi'R"
"OM","Masqat","Al Buda`Ah"
"OM","Al Batinah","Al Budayah"
"OM","Al Batinah","Al Bulaydah"
"OM","Ash Sharqiyah","Al Bulaydah"
"OM","Al Batinah","Al Burayk"
"OM","Az Zahirah","Al Buraymi"
"OM","Zufar","Al Burj"
"OM","Zufar","Al Burj Al Saliya"
"OM","Zufar","Al Burj As Saliya"
"OM","Zufar","Al Burj As Saliyah"
"OM","Al Batinah","Al Burr"
"OM","Masqat","Al Bustan"
"OM","Musandam","Al But"
"OM","Musandam","Al Buwayt"
"OM","Masqat","Al Buwayziâ§a"
"OM","Musandam","Al Darai"
"OM","Musandam","Al Dharayn"
"OM","Masqat","Al Duwika"
"OM","Az Zahirah","Al Fai"
"OM","Ash Sharqiyah","Al Fala"
"OM","Al Batinah","Al Falaj"
"OM","Al Batinah","Al Falaj Al Hadith"
"OM","Masqat","Al Farfarah"
"OM","Az Zahirah","Al Fa'Y"
"OM","Az Zahirah","Al Fayy"
"OM","Az Zahirah","Al Fida"
"OM","Musandam","Al Fiduk"
"OM","Musandam","Al Frian"
"OM","Zufar","Alfton"
"OM","Musandam","Algema"
"OM","Al Batinah","Al Ghaba"
"OM","Az Zahirah","Al Ghabah"
"OM","Ash Sharqiyah","Al Ghabbi"
"OM","Az Zahirah","Al Ghabbi"
"OM","Al Batinah","Al Ghabirah"
"OM","Al Batinah","Al Ghadifah"
"OM","Al Batinah","Al Ghafat"
"OM","Al Batinah","Al Ghala`Il"
"OM","Ash Sharqiyah","Al Ghalilah"
"OM","Musandam","Al Ghalil"
"OM","Al Batinah","Al Gharir `Alayah"
"OM","Al Batinah","Al Gharir Sufalah"
"OM","Al Batinah","Al Ghashbah"
"OM","Al Batinah","Al Ghawr"
"OM","Zufar","Al Ghaya"
"OM","Al Batinah","Al Ghayl"
"OM","Ash Sharqiyah","Al Ghayl"
"OM","Zufar","Al Ghayyah"
"OM","Al Batinah","Al Ghayzan"
"OM","Ash Sharqiyah","Al Ghomb"
"OM","Al Batinah","Al Ghu"
"OM","Al Batinah","Al Ghub"
"OM","Al Batinah","Al Ghuf"
"OM","Al Batinah","Al Ghulaylah"
"OM","Al Batinah","Al Ghuraifa"
"OM","Al Batinah","Al Ghurayfah"
"OM","Al Batinah","Al Ghushayn"
"OM","Al Batinah","Al Ghuwaysah"
"OM","Al Batinah","Al Ghuwayz"
"OM","Al Batinah","Al Ghuwiz"
"OM","Al Batinah","Al Ghuziâ§ayfah"
"OM","Musandam","Al Habalayn"
"OM","Musandam","Al Habayla"
"OM","Masqat","Al Habubiyah"
"OM","Al Batinah","Al Hadd"
"OM","Ash Sharqiyah","Al Hadd"
"OM","Musandam","Al Hadd"
"OM","Zufar","Al Hafah"
"OM","Zufar","Al Haffah"
"OM","Masqat","Al Hajar"
"OM","Al Batinah","Al Hajir"
"OM","Masqat","Al Hajir"
"OM","Masqat","Al Hajr"
"OM","Ash Sharqiyah","Al Haju"
"OM","Al Batinah","Al Hajul"
"OM","Al Batinah","Al Hamiliyah"
"OM","Al Batinah","Al Hamra'"
"OM","Al Batinah","Al Haqq"
"OM","Masqat","Al Haqq"
"OM","Musandam","Al Haqt"
"OM","Musandam","Al Harah"
"OM","Musandam","Al Haran"
"OM","Musandam","Al Harat"
"OM","Musandam","Al Harfiyah"
"OM","Al Batinah","Al Harmaliyah"
"OM","Az Zahirah","Al Harmuzi"
"OM","Al Batinah","Al Hasaifin"
"OM","Al Batinah","Al Hasan"
"OM","Al Batinah","Al Hashimi"
"OM","Al Batinah","Al Hasin"
"OM","Ash Sharqiyah","Al Hatm"
"OM","Az Zahirah","Al Hawmaniyah"
"OM","Musandam","Al Hawshak"
"OM","Al Batinah","Al Hawz"
"OM","Al Batinah","Al Hayl"
"OM","Az Zahirah","Al Hayl"
"OM","Musandam","Al Hayr"
"OM","Al Batinah","Al Hazm"
"OM","Ash Sharqiyah","Al Hazm"
"OM","Masqat","Al Hiâ±ajar"
"OM","Masqat","Al Hibra"
"OM","Az Zahirah","Al Hijal"
"OM","Az Zahirah","Al Hijar"
"OM","Al Batinah","Al Hijir"
"OM","Al Batinah","Al Hijrah"
"OM","Al Batinah","Al Hijr"
"OM","Musandam","Al Hillah"
"OM","Al Batinah","Al Hilyah"
"OM","Masqat","Al Hin"
"OM","Al Batinah","Al Hishmah"
"OM","Ash Sharqiyah","Al Hisn"
"OM","Masqat","Al Hisn"
"OM","Al Batinah","Al Hiyal"
"OM","Az Zahirah","Al Hothera"
"OM","Al Batinah","Al Hub"
"OM","Musandam","Al Hubayl"
"OM","Al Batinah","Al Hubi"
"OM","Az Zahirah","Al Hujayrimat"
"OM","Ash Sharqiyah","Al Humr"
"OM","Al Batinah","Al Hunaynah"
"OM","Al Batinah","Al Hurah"
"OM","Al Batinah","Al Husaifin"
"OM","Al Batinah","Al Husayfin"
"OM","Al Batinah","Al Huwayl"
"OM","Al Batinah","Al Huwaylayn"
"OM","Al Batinah","Al Huwib"
"OM","Al Batinah","Al Huwir"
"OM","Al Batinah","Al Huyul"
"OM","Musandam","`Ali Khamis"
"OM","Musandam","Al Ima"
"OM","Al Batinah","Al Isbalah"
"OM","Al Batinah","Al Islat"
"OM","Ash Sharqiyah","Al `Izz"
"OM","Al Batinah","Al Ja`Arif"
"OM","Masqat","Al Jabat"
"OM","Musandam","Al Jadi"
"OM","Masqat","Al Jafnayn"
"OM","Al Batinah","Al Jahliyah"
"OM","Al Batinah","Al Jamma"
"OM","Musandam","Al Jari"
"OM","Ash Sharqiyah","Al Jawabi"
"OM","Al Batinah","Al Jaylah"
"OM","Ash Sharqiyah","Al Jazir"
"OM","Ash Sharqiyah","Al Jiba`I"
"OM","Az Zahirah","Al Jibal"
"OM","Al Batinah","Al Jil"
"OM","Al Batinah","Al Jinah"
"OM","Musandam","Al Jiri"
"OM","Musandam","Al Jirri"
"OM","Masqat","Al Jissa"
"OM","Masqat","Al Jissah"
"OM","Musandam","Al Jowar"
"OM","Al Batinah","Al Jufar"
"OM","Al Batinah","Al Jull"
"OM","Ash Sharqiyah","Al Jumaylah"
"OM","Az Zahirah","Al Juwaif"
"OM","Musandam","Al Juwar"
"OM","Az Zahirah","Al Juwayf"
"OM","Az Zahirah","Al Kabirat Al Hayl"
"OM","Az Zahirah","Al Kabirat Hayl Al Ghaf"
"OM","Az Zahirah","Al Kabirat Hayl"
"OM","Ash Sharqiyah","Al Kalban"
"OM","Ash Sharqiyah","Al Kamil"
"OM","Al Batinah","Al Karbi"
"OM","Musandam","Al Karsha"
"OM","Musandam","Al Karshah"
"OM","Zufar","Al Kathir"
"OM","Al Batinah","Al Khabat"
"OM","Ash Sharqiyah","Al Khabbah"
"OM","Al Batinah","Al-Khabourah"
"OM","Al Batinah","Al Khabura"
"OM","Al Batinah","Al Khaburah"
"OM","Az Zahirah","Al Khaburah"
"OM","Al Batinah","Al Khaddah"
"OM","Ash Sharqiyah","Al Khaddah"
"OM","Al Batinah","Al Khadhra"
"OM","Al Batinah","Al Khadhrawain"
"OM","Al Batinah","Al Khadirah"
"OM","Al Batinah","Al Khadra'"
"OM","Al Batinah","Al Khadra"
"OM","Al Batinah","Al Khadra'"
"OM","Al Batinah","Al Khadrawayn"
"OM","Ash Sharqiyah","Al Khaisa"
