"QA","Madinat Ach Shamal","Aba Zuluf"
"QA","Ad Dawhah","`Abd Al `Aziz"
"QA","Madinat Ach Shamal","Abu Az Zuluf"
"QA","Madinat Ach Shamal","Abu Daluf"
"QA","Madinat Ach Shamal","Abu Dhaluf"
"QA","Madinat Ach Shamal","Abu Dhuluf"
"QA","Ar Rayyan","Abu Hamur"
"QA","Umm Salal","Abu Husayyah"
"QA","Al Khawr","Abu Kharab"
"QA","Ar Rayyan","Abu Qarn"
"QA","Ar Rayyan","Abu Samrah"
"QA","Ar Rayyan","Abu Sidrah"
"QA","Ad Dawhah","Abu Sudayrah"
"QA","Al Khawr","Abu Suwayy"
"QA","Umm Salal","Abu Thaylah"
"QA","Madinat Ach Shamal","Abu Zahif"
"QA","Madinat Ach Shamal","Abu Zuluf"
"QA","Ar Rayyan","Ad Darb"
"QA","Al Khawr","Ad Da`Udiyah"
"QA","Ad Dawhah","Ad Dawha"
"QA","Ad Dawhah","Ad Dawhah"
"QA","Ad Dawhah","Ad Dawhah Al Jadidah"
"QA","Al Khawr","Ad Dhakhirah"
"QA","Ad Dawhah","Ad Doha"
"QA","Ad Dawhah","Ad Dowhah"
"QA","Madinat Ach Shamal","Adhbah"
"QA","Al Khawr","Adh Dhakhira"
"QA","Al Khawr","Adh Dhakhirah"
"QA","Al Khawr","Adh Dhukhayr"
"QA","Madinat Ach Shamal","Al `Adhbah"
"QA","Madinat Ach Shamal","Al `Arish"
"QA","Ad Dawhah","Al Bida` Al Gharbiyah"
"QA","Ad Dawhah","Al Bida` Ash Sharqiyah"
"QA","Ar Rayyan","Al Busayyir"
"QA","Al Khawr","Al Dakhirah"
"QA","Al Khawr","Al Dhakhirah"
"QA","Al Khawr","Al Ghafah"
"QA","Ad Dawhah","Al Ghanim"
"QA","Ar Rayyan","Al Gharafah"
"QA","Madinat Ach Shamal","Al Ghariyah"
"QA","Madinat Ach Shamal","Al Ghariyeh"
"QA","Ar Rayyan","Al Gharrafah"
"QA","Ar Rayyan","Al Gharrafah Al Jadidah"
"QA","Madinat Ach Shamal","Al Ghashamiya"
"QA","Madinat Ach Shamal","Al Ghashamiyah"
"QA","Madinat Ach Shamal","Al Ghashshamiyah"
"QA","Al Khawr","Al Ghuwairiya"
"QA","Al Khawr","Al Ghuwairiyah"
"QA","Al Khawr","Al Ghuwayriyah"
"QA","Ad Dawhah","Al Hilal Al Gharbiyah"
"QA","Ad Dawhah","Al Hilal Ash Sharqiyah"
"QA","Ad Dawhah","Al Hitmi"
"QA","Ar Rayyan","Al Husayniyah"
"QA","Ar Rayyan","Al Hussainiyah"
"QA","Al Khawr","Al Huwaylah"
"QA","Ad Dawhah","Al Jabar"
"QA","Madinat Ach Shamal","Al Jadhi"
"QA","Ar Rayyan","Al Jamaliya"
"QA","Madinat Ach Shamal","Al-Jamil"
"QA","Ar Rayyan","Al Jamliyah"
"QA","Ad Dawhah","Al Jasrah"
"QA","Al Khawr","Al Jubayl"
"QA","Madinat Ach Shamal","Al Judhay`"
"QA","Madinat Ach Shamal","Al Jumail"
"QA","Ar Rayyan","Al Jumaliyah"
"QA","Madinat Ach Shamal","Al Jumayl"
"QA","Ar Rayyan","Al Jumayliyah"
"QA","Madinat Ach Shamal","Al Ka`Aban"
"QA","Madinat Ach Shamal","Al Ka`Ban"
"QA","Madinat Ach Shamal","Al Ka`Biyah"
"QA","Ad Dawhah","Al Khalifat"
"QA","Umm Salal","Al Kharitiyat"
"QA","Al Wakrah","Al Kharrarah"
"QA","Ar Rayyan","Al Khathiyah"
"QA","Ar Rayyan","Al Khatiyah"
"QA","Ar Rayyan","Al Khattiyah"
"QA","Al Khawr","Al-Khaur"
"QA","Al Khawr","Al Khawr"
"QA","Madinat Ach Shamal","Al Khisa"
"QA","Madinat Ach Shamal","Al Khisah"
"QA","Madinat Ach Shamal","Al Khiseh"
"QA","Ar Rayyan","Al Khurayb"
"QA","Al Khawr","Al Khurays"
"QA","Umm Salal","Al Khuraytiyat"
"QA","Ar Rayyan","Al Khursa`Ah"
"QA","Madinat Ach Shamal","Al Khuwair"
"QA","Madinat Ach Shamal","Al Khuwayr"
"QA","Ar Rayyan","Al Kir`Anah"
"QA","Madinat Ach Shamal","Al Kuhwayr"
"QA","Madinat Ach Shamal","Al Mafier"
"QA","Madinat Ach Shamal","Al Mafijar"
"QA","Madinat Ach Shamal","Al Mafjar"
"QA","Al Khawr","Al Majidah"
"QA","Ad Dawhah","Al Mansurah"
"QA","Ar Rayyan","Al Maqran"
"QA","Ad Dawhah","Al Markhiyah"
"QA","Ad Dawhah","Al Markiyah"
"QA","Madinat Ach Shamal","Al Mashrab"
"QA","Ad Dawhah","Al Muntazah"
"QA","Madinat Ach Shamal","Al Muraydah"
"QA","Ad Dawhah","Al Murqab"
"QA","Madinat Ach Shamal","Al Na'Man"
"QA","Madinat Ach Shamal","Al Qa`Abiyah"
"QA","Ar Rayyan","Al Qa`Iyah"
"QA","Ar Rayyan","Al Raiyan"
"QA","Ar Rayyan","Al Rayyan"
"QA","Ar Rayyan","Al Shahaniyah"
"QA","Ar Rayyan","Al Suwaihiliya"
"QA","Ar Rayyan","Al Suwaihiliyah"
"QA","Madinat Ach Shamal","Al Thagab"
"QA","Madinat Ach Shamal","Al Thaqab"
"QA","Al Khawr","Al `Uqdah"
"QA","Madinat Ach Shamal","Al `Uraysh"
"QA","Ar Rayyan","Al `Uwaynah"
"QA","Al Khawr","Al Wa`B"
"QA","Ar Rayyan","Al Wa`B"
"QA","Madinat Ach Shamal","Al Wa`B"
"QA","Ar Rayyan","Al Wabrah"
"QA","Ar Rayyan","Al Wagbah"
