"SD","Bahr Al Ghazal","Abadai"
"SD","Darfur","Abaka"
"SD","Kurdufan","Abalang"
"SD","Darfur","Abalga"
"SD","Bahr Al Ghazal","Abang"
"SD","Al Wusta","Abania"
"SD","Bahr Al Ghazal","Abar"
"SD","Bahr Al Ghazal","Abarau"
"SD","Bahr Al Ghazal","Abarud"
"SD","Darfur","`Abata"
"SD","Ash Shamaliyah","Abatta"
"SD","Al Wusta","Abauadala"
"SD","Kurdufan","Abbas"
"SD","Al Wusta","`Abbas `Abd Allah"
"SD","Al Wusta","`Abbas `Abdullah"
"SD","Al Wusta","Abbasiya"
"SD","Kurdufan","`Abbasiya"
"SD","Kurdufan","Abbasiya"
"SD","Kurdufan","`Abbasiyah"
"SD","Al Wusta","Abbassia Gedida"
"SD","Al Wusta","Abbogol"
"SD","Ash Sharqiyah","Abbuda"
"SD","Ash Sharqiyah","`Abbudah"
"SD","Al Wusta","`Abd Ad Da'Im"
"SD","Kurdufan","`Abd Ad Da'Im"
"SD","Al Wusta","`Abd Al Baqi"
"SD","Al Wusta","`Abd Al Fadil"
"SD","Al Wusta","`Abd Al Farraj"
"SD","Al Wusta","`Abd Al Ghaffar"
"SD","Al Wusta","`Abd Al Ghani"
"SD","Al Wusta","`Abd Al Hafiziâ§"
"SD","Al Wusta","`Abd Al Jalil"
"SD","Al Wusta","`Abd Al Karim"
"SD","Kurdufan","`Abd Al Khayr"
"SD","Al Wusta","`Abd Allah"
"SD","Al Istiwa'Iyah","`Abd Allah"
"SD","Bahr Al Ghazal","`Abd Allah"
"SD","Darfur","`Abd Allah"
"SD","Kurdufan","`Abd Allah"
"SD","Al Wusta","`Abd Allah `Ali"
"SD","Darfur","`Abd Allah Bashir"
"SD","Al Wusta","`Abd Allah Kahli"
"SD","Bahr Al Ghazal","`Abd Allah Kyango"
"SD","Al Wusta","`Abd Allah Na'Imah"
"SD","Bahr Al Ghazal","`Abd Al Lait"
"SD","Al Wusta","`Abd Al Majid"
"SD","Al Wusta","`Abd Al Mawla"
"SD","Bahr Al Ghazal","`Abd Al Qadir"
"SD","Al Wusta","Abdanab"
"SD","Al Wusta","`Abd An Nab"
"SD","Al Wusta","`Abd An Nur"
"SD","Al Wusta","`Abd Ar Rahman"
"SD","Kurdufan","`Abd Ar Rahman"
"SD","Kurdufan","`Abd Ar Rahman Subei"
"SD","Al Wusta","`Abd Ar Rasul"
"SD","Ash Sharqiyah","`Abd Ar Razzaq"
"SD","Al Wusta","`Abd As Sadiq"
"SD","Bahr Al Ghazal","`Abd At Tam"
"SD","Al Wusta","`Abd Ed Daim"
"SD","Kurdufan","`Abd Ed Daim"
"SD","Al Wusta","`Abd El Bagi"
"SD","Al Wusta","`Abd El Baqi"
"SD","Al Wusta","`Abd El Fadil"
"SD","Al Wusta","`Abd El Farrag"
"SD","Al Wusta","`Abd El Galil"
"SD","Al Wusta","`Abd El Ghaffar"
"SD","Al Wusta","`Abd El Ghani"
"SD","Al Wusta","`Abd El Hafiz"
"SD","Al Wusta","`Abd El Karim"
"SD","Kurdufan","`Abd El Kheir"
"SD","Bahr Al Ghazal","Abd El Lait"
"SD","Al Wusta","`Abd El Magid"
"SD","Al Wusta","`Abd El Mula"
"SD","Bahr Al Ghazal","`Abd El Qadir"
"SD","Al Wusta","`Abd En Nab"
"SD","Al Wusta","`Abd En Nur"
"SD","Al Wusta","`Abd Er Rahman"
"SD","Kurdufan","`Abd Er Rahman"
"SD","Kurdufan","`Abd Er Rahman Subei"
"SD","Al Wusta","`Abd Er Rasul"
"SD","Ash Sharqiyah","Abd Er Razzaq"
"SD","Al Wusta","`Abd Es Sadiq"
"SD","Bahr Al Ghazal","`Abd Et Tam"
"SD","Al Wusta","`Abdin"
"SD","Kurdufan","`Abdin"
"SD","Darfur","Abdoullah"
"SD","Darfur","Abdu Deiyata"
"SD","Bahr Al Ghazal","Abduilah Kyango"
"SD","Al Istiwa'Iyah","Abdulla"
"SD","Al Wusta","Abdullah"
"SD","Al Wusta","`Abdullah"
"SD","Al Istiwa'Iyah","Abdullah"
"SD","Bahr Al Ghazal","`Abdullah"
"SD","Darfur","`Abdullah"
"SD","Darfur","Abdullah"
"SD","Kurdufan","`Abdullah"
"SD","Al Wusta","`Abdullah `Ali"
"SD","Darfur","`Abdullah Beshir"
"SD","Al Wusta","`Abdullah Kahl"
"SD","Bahr Al Ghazal","Abdullah Kyango"
"SD","Al Wusta","`Abdullah Naima"
"SD","Al Wusta","Abdullah Qeissan"
"SD","Al Wusta","Abdul Majid"
"SD","Al Istiwa'Iyah","Abegi"
"SD","Bahr Al Ghazal","Abeif"
"SD","Al Wusta","Abeikli"
"SD","Bahr Al Ghazal","Abeir"
"SD","Bahr Al Ghazal","Abeit"
"SD","Kurdufan","Abeiya"
"SD","Kurdufan","Abekr"
"SD","Al Wusta","Abela"
"SD","Bahr Al Ghazal","Abelek"
"SD","Bahr Al Ghazal","Abeo"
"SD","Kurdufan","Ab Gir"
"SD","Al Wusta","Abguana"
"SD","Bahr Al Ghazal","Abi"
"SD","Al Wusta","`Abidin"
"SD","Kurdufan","`Abidin"
"SD","Ash Shamaliyah","`Abidiya"
"SD","Ash Shamaliyah","`Abidiyah"
"SD","Bahr Al Ghazal","Abiem"
"SD","Bahr Al Ghazal","Abiey"
"SD","Darfur","Abi Karu"
"SD","Bahr Al Ghazal","Abi Rij"
"SD","Bahr Al Ghazal","Abiriu"
"SD","Bahr Al Ghazal","Abiyai"
"SD","Bahr Al Ghazal","Abiyei"
"SD","Ash Shamaliyah","`Abka"
"SD","Ash Shamaliyah","`Abka East"
