"TH","Trat","Aeng Pok"
"TH","Chiang Mai","Ai"
"TH","Nan","Ai Na Lai"
"TH","Nan","Ainarai"
"TH","Prachin Buri","Ai Rot"
"TH","Krabi","Ai Taut"
"TH","Sakon Nakhon","Akat Amnuai"
"TH","Nakhon Phanom","Akat Amnuai"
"TH","Amnat Charoen","Amanat Charoem"
"TH","Samut Songkhram","Ambhawa"
"TH","Nakhon Sawan","Ambheu Barnbhot"
"TH","Kanchanaburi","Ambheu Wangha"
"TH","Amnat Charoen","Amnat"
"TH","Amnat Charoen","Amnat Charoen"
"TH","Chumphon","Amper Khan Ngern"
"TH","Samut Songkhram","Amphawa"
"TH","Chachoengsao","Ampho Ban Pho"
"TH","Sakon Nakhon","Amphoe Akat Amnuai"
"TH","Amnat Charoen","Amphoe Amnat Charoen"
"TH","Samut Songkhram","Amphoe Amphawa"
"TH","Krabi","Amphoe Ao Luek"
"TH","Krabi","Amphoe Ao Luk"
"TH","Sa Kaeo","Amphoe Aranpradbet"
"TH","Sa Kaeo","Amphoe Aranyaprathet"
"TH","Roi Et","Amphoe At Samat"
"TH","Narathiwat","Amphoe Ba Cho"
"TH","Yala","Amphoe Ba Cho"
"TH","Chaiyaphum","Amphoe Bamnet Narong"
"TH","Sa Kaeo","Amphoe Ban Aranyaprathet"
"TH","Kalasin","Amphoe Ban Bang Talat"
"TH","Chon Buri","Amphoe Ban Bueng"
"TH","Chon Buri","Amphoe Ban Bung"
"TH","Rayong","Amphoe Ban Chang"
"TH","Chiang Mai","Amphoe Ban Chiang Dao"
"TH","Buriram","Amphoe Ban Dan"
"TH","Sukhothai","Amphoe Ban Dan Lan Hoi"
"TH","Surat Thani","Amphoe Ban Don"
"TH","Udon Thani","Amphoe Ban Dung"
"TH","Phra Nakhon Si Ayutthaya","Amphoe Bang Ban"
"TH","Samut Prakan","Amphoe Bang Bo"
"TH","Nonthaburi","Amphoe Bang Bua Thong"
"TH","Samut Prakan","Amphoe Bang Hia"
"TH","Pathum Thani","Amphoe Bang Kadi"
"TH","Ang Thong","Amphoe Bang Kaeo"
"TH","Phatthalung","Amphoe Bang Kaeo"
"TH","Krung Thep","Amphoe Bang Kapi"
"TH","Nakhon Si Thammarat","Amphoe Bang Khan"
"TH","Krung Thep","Amphoe Bang Khen"
"TH","Chachoengsao","Amphoe Bang Khla"
"TH","Samut Songkhram","Amphoe Bang Khon Thi"
"TH","Krung Thep","Amphoe Bang Khun Thian"
"TH","Krung Thep","Amphoe Bangkok Noi"
"TH","Krung Thep","Amphoe Bangkok Yai"
"TH","Phitsanulok","Amphoe Bang Krathum"
"TH","Nonthaburi","Amphoe Bang Kruai"
"TH","Chon Buri","Amphoe Bang Lamung"
"TH","Nakhon Pathom","Amphoe Bang Len"
"TH","Phichit","Amphoe Bang Mun Nak"
"TH","Chachoengsao","Amphoe Bang Nam Prieo"
"TH","Phra Nakhon Si Ayutthaya","Amphoe Bang Pa Han"
"TH","Phra Nakhon Si Ayutthaya","Amphoe Bang Pa-In"
"TH","Chachoengsao","Amphoe Bang Pakong"
"TH","Ratchaburi","Amphoe Bang Phae"
"TH","Nakhon Pathom","Amphoe Bang Phai Nat"
"TH","Krung Thep","Amphoe Bang Phlat"
"TH","Samut Prakan","Amphoe Bang Phli"
"TH","Trat","Amphoe Bang Phra"
"TH","Nakhon Pathom","Amphoe Bang Pla"
